Year,Job Code,Job Title,Job Family,Race with the Machine,Race ahead of the Machine,Changing the Course of the Race,Race against the Machine,Running a Different Race
2008,00-0000,TOTAL AVERAGE,TOTAL AVERAGE,0.09732700253216298,0.10735386293116418,0.09268648459264882,0.06135485048845481,0.12802032130930355
2008,11-1011,Chief Executives,Management Occupations,0.18948492788621557,0.16822321512825147,0.09633170969508714,0.0,0.02228677733483464
2008,11-1021,General and Operations Managers,Management Occupations,0.20903048928247275,0.15641545085377911,0.04683211851966625,0.0031826644930742828,0.05892292144199875
2008,11-2011,Advertising and Promotions Managers,Management Occupations,0.1894584772334154,0.16266442310646,0.09647196970588032,0.007108497910781833,0.017875281658944565
2008,11-2021,Marketing Managers,Management Occupations,0.17903485937978864,0.20546624685049825,0.0794809241388529,0.0,0.011007167461256788
2008,11-2022,Sales Managers,Management Occupations,0.1997630403822843,0.1818214594544421,0.04257760385672137,0.0004207488007910958,0.04028740566070561
2008,11-2030,Public Relations and Fundraising Managers,Management Occupations,0.18033001387761521,0.193743906497064,0.0757525033731644,0.0,0.014952391028033656
2008,11-3010,Administrative Services and Facilities Managers,Management Occupations,0.24455571657913733,0.1652297196409414,0.04717609782400362,0.001593114139562335,0.020528001989053156
2008,11-3021,Computer and Information Systems Managers,Management Occupations,0.14695137652260412,0.18054470025007874,0.12350290019132987,0.0,0.03528618561322791
2008,11-3031,Financial Managers,Management Occupations,0.17162519723140857,0.1644571943022063,0.15190958876919225,2.115393172517752e-06,0.0071491775507453335
2008,11-3051,Industrial Production Managers,Management Occupations,0.18273715585512745,0.09966344367204809,0.09361564704369862,0.00986772635794068,0.10163697249132501
2008,11-3061,Purchasing Managers,Management Occupations,0.16169158669277184,0.12211697842413577,0.13994382026572072,0.016607391490609382,0.050905887235088675
2008,11-3071,"Transportation, Storage, and Distribution Managers",Management Occupations,0.21822744700193672,0.13975929209029006,0.10366337399890464,0.0,0.024275794830190517
2008,11-3111,Compensation and Benefits Managers,Management Occupations,0.15625907588726048,0.2144501463505251,0.1223591551581762,0.0,0.0
